number;division_id;description
78312148909;7;Основной отдела
78312150073;6;Основной отдела
78312150093;7;Основной отдела
78312825526;9;Основной отдела
78312825527;10;Основной отдела
78312825528;11;Основной отдела
78312825505;9;Материальная
78312825530;12;Основной отдела
78312825531;13;Основной отдела
78312157576;1;Общий на сайте
78312825536;1;Основной отдела
78312825537;2;Основной отдела
78312825538;3;Основной отдела
78312140205;6;ПТМ
78312140171;6;Реклама
78312140212;4;Васнецова
78312825585;14;Временный
78312140032;4;Героев
78312176332;6;Томин
78312151912;5;Основной отдела
78312140018;14;Основной отдела
